YearBuilt;NumberofBuildings;NumberofFloors;PropertyGFATotal;PropertyGFAParking(%);PropertyGFABuilding(s)(%);LargestPropertyUseType(%);SecondLargestPropertyUseType(%);ThirdLargestPropertyUseType(%);SiteEnergyUse(kBtu);SiteEnergyUse_log;TotalGHGEmissions_log;SteamUse(%);Electricity(%);NaturalGas(%);ENERGYSTARScore;TotalGHGEmissions;Education;Food Sales;Healthcare;Industrial;Office;Parking;Recreation;Religious;Residential;Retail;Sans;Services;Warehouse;Public_Services
1900;1.0;5;39960;0.0;100.0;92.8928928928929;7.107107107107106;0.0;2178690.5;14.594235025197717;3.9314333989479695;0.0;65.38891136671316;34.611065683721485;77.0;49.98;0.0;0.0;0.0;0.0;92.8928928928929;0.0;0.0;0.0;0.0;0.0;0;7.107107107107106;0.0;0.0
1926;1.0;11;36240;0.0;100.0;100.0;0.0;0.0;2147968.25;14.580033418865964;4.803283067577055;53.916916602468405;21.24565854267166;24.837424854859936;98.0;120.91;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0;0;0.0;0.0;0.0
1909;1.0;6;35820;0.0;100.0;100.0;0.0;0.0;3321603.0;15.015958356751847;4.879615031657852;0.0;29.905711188242545;70.09428881175745;94.0;130.58;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0;0;0.0;0.0;0.0
1922;1.0;2;33462;0.0;100.0;173.02014225091148;0.0;0.0;3987215.5;15.19860392636903;5.226982468943414;0.0;14.419586801867117;85.58042573821254;76.0;185.23;173.02014225091148;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0
1965;1.0;3;49744;0.0;100.0;100.0;0.0;0.0;2096835.5;14.555940338317887;4.503026712319388;0.0;22.812900678188633;77.18707547635472;98.0;89.29;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0
1923;1.0;2;37816;0.0;100.0;51.31954728157394;49.45261265072985;0.0;1411305.5;14.160026429074197;3.794364961959914;0.0;48.37946142773482;51.62050314407476;60.0;43.45;49.45261265072985;0.0;0.0;0.0;0.0;0.0;0.0;51.31954728157394;0.0;0.0;0;0.0;0.0;0.0
1946;1.0;2;25762;0.0;100.0;100.0;0.0;0.0;1906384.875;14.46071979548618;2.659559991941776;0.0;100.00000655691312;0.0;100.0;13.29;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0;0.0;0.0;0.0
1981;1.0;3;43387;0.0;100.0;103.71770345956162;0.0;0.0;2686765.0;14.803848797835942;3.5596246182566738;0.0;87.56232867407459;12.437671325925416;60.0;34.15;0.0;0.0;0.0;0.0;103.71770345956162;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0
1985;1.0;1;37500;0.0;100.0;163.784;0.0;0.0;1811506.375;14.409669860520685;2.6504210882655737;0.0;99.35918663272713;0.6407926662692534;36.0;13.16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;163.784;0.0
1990;1.0;2;39000;0.0;100.0;100.0;0.0;0.0;2615247.75;14.776869775240115;3.5530597309714014;0.0;86.99649966241249;13.003471659616187;25.0;33.92;0.0;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0
